ID,Official_Code,Name,Type,Category,State,LGA,Ward,Address,Status,Sources
552,"GSC COLLEGES MEGA LAKANJE","GOVERNMENT SCIENCE COLLEGES MEGA LAKANJE",senior,public,GOMBE,KALTUNGO,"KALTUNGO","LAKANJE",active,"FUK(#497); GSU(#497)"
553,"GSTC TULA","GOVERNMENT SCIENCE TECHNICAL COLLEGE TULA",senior,public,GOMBE,KALTUNGO,"KALTUNGO","KALTUNGO",active,"FUK(#218); GSU(#218); FCET_GOMBE(#218)"
554,"GSSS GUJUBA","GOVERNMENT SENIOR SECONDARY SCHOOL GUJUBA",senior,public,GOMBE,KALTUNGO,"GUJUBA","GUJUBA",active,"FUK(#502); FUK(#503); GSU(#502); GSU(#503)"
555,"GVTC KAMU GUJUBA","GOVERNMENT VOCATIONAL TRAINING CENTER KAMU GUJUBA",senior,public,GOMBE,KALTUNGO,"KALTUNGO","KALTUNGO",active,"FUK(#232); GSU(#232); FCET_GOMBE(#232)"
556,"MAK KALTUNGO","MAILAMAI ACADEMY, KALTUNGO",senior,private,GOMBE,KALTUNGO,"KALTUNGO TOWN","OPPOSITE EMPLOYER MOTOR PACK, KALTUNGO",active,"GSU(#548)"
557,"MC KALTUNGO. LAKANJE","MEGA COLLEGE, KALTUNGO. LAKANJE",senior,private,GOMBE,KALTUNGO,"KALTUNGO","PALACE STREET, NEAR MAI KALTUNGO PALACE, GOMBE",active,"GSU(#546)"
558,"SCG MEGA COLLEGE LAKANJE","SCIENCE GOVERNMENT MEGA COLLEGE LAKANJE",senior,public,GOMBE,KALTUNGO,"KALTUNGO","POHSERE , KATUNGO",active,"FUK(#625)"
559,"TI ACADEMY ALONG GUJUBA ROAD","TUNGO INTERNATIONAL ACADEMY ALONG GUJUBA ROAD",senior,private,GOMBE,KALTUNGO,"KALTUNGO","KALTUNGO",active,"FUK(#231); GSU(#231); FCET_GOMBE(#231)"
560,"BB PRIMARY SCHOOL","BULA BARDE PRIMARY SCHOOL",primary,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"GSU(#266); FCET_GOMBE(#266)"
561,"CPS MALAM SIDI","CENTRAL PRIMARY SCHOOL MALAM SIDI",primary,public,GOMBE,KWAMI,"KWAMI","KWAMI",active,"GSU(#275); FCET_GOMBE(#275)"
