ID,Official_Code,Name,Type,Category,State,LGA,Ward,Address,Status,Sources
642,"GB PRIMARY SCHOOL","GARIN BARAYA PRIMARY SCHOOL",primary,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"GSU(#320); FCET_GOMBE(#320)"
643,"GPS SCHOOL 3","GELANO PRIMARY SCHOOL",primary,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"GSU(#319); FCET_GOMBE(#319)"
644,"KPS SCHOOL 4","KANAWA PRIMARY SCHOOL",primary,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"GSU(#313); FCET_GOMBE(#313)"
645,"KC PRIMARY SCHOOL","KWADON CENTRAL PRIMARY SCHOOL",primary,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"GSU(#322); FCET_GOMBE(#322)"
646,"NL PRIMARY SCHOOL","NEW LIJI PRIMARY SCHOOL",primary,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"FCET_GOMBE(#308)"
647,"ZPS SCHOOL","ZAMBUK PRIMARY SCHOOL",primary,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"GSU(#310); FCET_GOMBE(#310)"
648,"GDJSS LUBO","GOVERNMENT DAY JUNIOR SECONDARY SCHOOL LUBO",junior,public,GOMBE,YAMALTU DEBA,"LUBO","Lubo",active,"FUK(#355); GSU(#355); FCET_GOMBE(#355)"
649,"GJSS DEBA CENTRAL","GOVERNMENT JUNIOR SECONDARY SCHOOL DEBA CENTRAL",junior,public,GOMBE,YAMALTU DEBA,"DEBA","DEBA",active,"FUK(#403); GSU(#403); FCET_GOMBE(#403)"
650,"GJSS DIFA","GOVERNMENT JUNIOR SECONDARY SCHOOL DIFA",junior,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"FUK(#309); GSU(#309); FCET_GOMBE(#309)"
651,"GJSS GWANI WEST","GOVERNMENT JUNIOR SECONDARY SCHOOL GWANI WEST",junior,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"FUK(#315); GSU(#315); FCET_GOMBE(#315)"
652,"GJSS KALSHINGI","GOVERNMENT JUNIOR SECONDARY SCHOOL KALSHINGI",junior,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","KALSHINGI",active,"FUK(#363); GSU(#363); FCET_GOMBE(#363)"
653,"GJSS KINAFA","GOVERNMENT JUNIOR SECONDARY SCHOOL KINAFA",junior,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"FUK(#317); GSU(#317); FCET_GOMBE(#317)"
654,"GJSS KURBA","GOVERNMENT JUNIOR SECONDARY SCHOOL KURBA",junior,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"FUK(#311); GSU(#311); FCET_GOMBE(#311)"
655,"GJSS KURJELE","GOVERNMENT JUNIOR SECONDARY SCHOOL KURJELE",junior,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"FUK(#312); GSU(#312); FCET_GOMBE(#312)"
656,"GJSS KWADON","GOVERNMENT JUNIOR SECONDARY SCHOOL KWADON",junior,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"FUK(#321); GSU(#321); FCET_GOMBE(#321)"
657,"GJSS NEW LIJI","GOVERNMENT JUNIOR SECONDARY SCHOOL NEW LIJI",junior,public,GOMBE,YAMALTU DEBA,"NEW LIJI","NEW LIJI",active,"FUK(#573)"
658,"GJSS WADE","GOVERNMENT JUNIOR SECONDARY SCHOOL WADE",junior,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"FUK(#316); GSU(#316); FCET_GOMBE(#316)"
659,"MJSS DEBA","MODEL JUNIOR SECONDARY SCHOOL DEBA",junior,public,GOMBE,YAMALTU DEBA,"DEBA","Deba",active,"FUK(#349); GSU(#349); FCET_GOMBE(#349)"
660,"AC SCIENCE SECONDARY SCHOOL DEBA","AMTAS COMMUNITY SCIENCE SECONDARY SCHOOL DEBA",senior,public,GOMBE,YAMALTU DEBA,"DEBA","YAMALTU DEBA LGA",active,"FUK(#523); GSU(#523)"
661,"GCSS (MEGA) DADIN KOWA","GOVERNMENT COMPREHENSIVE SECONDARY SCHOOL (MEGA) DADIN KOWA",senior,public,GOMBE,YAMALTU DEBA,"DADIN KOWA","BEHIND FEDERAL COLLEGE OF HOTICULTURE DADIN KOWA",active,"FUK(#614)"
662,"GDSS , KURI","GOVERNMENT DAY SECONDARY SCHOOL, KURI",senior,public,GOMBE,YAMALTU DEBA,"KURI TOWN","KURI TOWN",active,"GSU(#549)"
663,"GDSSS DIFA","GOVERNMENT DAY SENIOR SECONDARY SCHOOL DIFA",senior,public,GOMBE,YAMALTU DEBA,"DIFA","AFTER COPERS LODGE DIFA",active,"FUK(#593)"
664,"GSTC DEBA","GOVERNMENT SCIENCE TECHNICAL COLLEGE DEBA",senior,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"FUK(#307); GSU(#307); FCET_GOMBE(#307)"
665,"GSS DASA","GOVERNMENT SECONDARY SCHOOL DASA",senior,public,GOMBE,YAMALTU DEBA,"DASA","ALONG TALASSE ROAD OPP LAJANGARA",active,"FUK(#627)"
666,"JI COMMUNITY SCIENCE SECONDARY SCHOOL, DEBA","JIBWIS ISLAMIC COMMUNITY SCIENCE SECONDARY SCHOOL, DEBA",senior,public,GOMBE,YAMALTU DEBA,"DEBA","BEHIND MICRO FINANCE BANK DEBA, GOMBE",active,"FUK(#528); GSU(#528)"
667,"M THREE SMART SCHOOL DEBA","MODEL THREE SMART SCHOOL DEBA",senior,public,GOMBE,YAMALTU DEBA,"DEBA","ALONG DEBA ROAD AFTER WELCOME TO DEBA GATE",active,"FUK(#596)"
668,"SM 3 SECONDARY SCHOOL DEBA","SMART MODEL 3 SECONDARY SCHOOL DEBA",senior,public,GOMBE,YAMALTU DEBA,"DEBA","DEBA",active,"FUK(#590)"
